Energy Range (meV),N Samples,Mean Actual (meV),Std Actual (meV),Linear Regression MAE,Linear Regression Rel%,Random Forest MAE,Random Forest Rel%,Neural Network MAE,Neural Network Rel%
0-100,99,68.06405433385076,19.763060698576233,48.203534763539295,70.82083962718909,25.141291847017936,36.937693607996316,29.951884380637107,44.00543675186409
100-200,19,123.73032911605931,28.286784076888974,60.69560855787253,49.054753989169406,30.680611080016995,24.796354539102953,33.11622079780429,26.764836911361645
200-300,3,223.93950555555568,7.972189553907242,53.235552565902054,23.772291732909625,14.352975858793078,6.4093094352360005,75.64614553474699,33.77972338872582
300-400,2,331.8897333333333,31.50518977621867,191.23645040159,57.620477886106144,32.53619156268374,9.803313659602129,130.3276021046937,39.2683439754972
400-500,2,461.4500416666667,53.39746320912764,131.07428084217676,28.404869218076623,102.3983336694497,22.190556815122843,130.3710725173179,28.252478219840064
500+,2,557.5640000000001,19.930794577236377,308.3071461228976,55.295382435540596,329.6444462059176,59.12226151722807,276.580730521449,49.60519877923414
